file,fs_hz,max_hr,st_label,oldpeak
exercise_ecg_long_chunk_0008_1764746462_1764746492,160.1,200.0,Up,0.015
exercise_ecg_long_chunk_0009_1764746492_1764746522,160.1,200.0,Up,-0.046
exercise_ecg_long_chunk_0010_1764746522_1764746552,160.19,177.8,Up,-0.245
exercise_ecg_long_chunk_0011_1764746552_1764746577,160.12,124.7,Up,-0.095
rest_ecg_data_20251112_005227,160.06,80.7,Down,-0.11
rest_ecg_data_20251112_005303,160.2,85.7,Down,-0.097
rest_ecg_data_20251112_005347,160.13,83.5,Down,-0.118
rest_ecg_data_20251112_005409,160.13,78.0,Down,-0.106
rest_ecg_data_20251112_005431,160.16,78.7,Down,-0.106
rest_ecg_data_20251112_005452,160.18,91.4,Down,-0.106
rest_ecg_data_20251112_005516,160.12,81.4,Down,-0.108
rest_ecg_data_20251112_005540,160.12,76.2,Down,-0.112
rest_ecg_data_20251112_005604,160.08,79.3,Down,-0.105
rest_ecg_data_20251203_135222,160.11,99.0,Down,-0.13
